Prompt ID,Prompt,Source URL,Citation Text,Detected Brands
1,what are the top car brands in the world,https://www.enterprise.ch/en/blog-enterprise/top-10-most-famous-car-brands-worldwide,,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,https://companiesmarketcap.com/automakers/largest-automakers-by-market-cap/,,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,https://www.focus2move.com/world-cars-brand-ranking/,,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,https://brandirectory.com/reports/automotive-industry,,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,https://roadgenius.com/cars/statistics/sales-by-manufacturer/,,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,,n.a,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,,n.a,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,,n.a,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,,n.a,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
1,what are the top car brands in the world,,n.a,"Tesla, Mercedes-Benz, Toyota, Volkswagen, Golf, VW, BYD, Polo, EV, Europe, Hyundai, Synonymous, Known, China, Kia, Leading"
2,which car brands are the most reliable,https://www.consumerreports.org/cars/car-reliability-owner-satisfaction/who-makes-the-most-reliable-cars-a7824554938/,,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,https://www.visualcapitalist.com/ranked-the-most-reliable-car-brands-in-2025/,,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,https://www.jdpower.com/business/press-releases/2024-us-vehicle-dependability-study-vds,,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,https://www.consumerreports.org/cars/cars-driving/which-car-brands-make-the-best-vehicles-a6159221985/,,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,https://www.whatcar.com/news/reliability-survey-most-reliable-cars-brands/n26159,,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
2,which car brands are the most reliable,,n.a,"Buick, Study, Vehicle Dependability, Additionally, New Cars, Consistently, Toyota, Ranked, In, Who Makes, Here, Power, Lexus, Sources, Mazda, Most Reliable, Reliable Car, Visual Capitalist"
3,what are the best luxury car brands,https://www.caranddriver.com/rankings/best-sedans/luxury/full-size,,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,https://www.edmunds.com/car-buying/luxury-car-brands.html,,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,https://www.consumerreports.org/cars/luxury-cars/,,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,https://clementpreowned.com/blog/best-luxury-car-brands,,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,,n.a,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,,n.a,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,,n.a,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,,n.a,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
3,what are the best luxury car brands,,n.a,"Tesla, Macan, German, Bentley, Lexus, Model, Mercedes-Benz, As, Known, While, Japan, Its, Although, Models, BMW, Here, Audi, Genesis, It, S-Class, Cayenne, SUVs"
