Prompt ID,Prompt,Source URL,Citation Text
1,what are the top car brands in the world,https://www.enterprise.ch/en/blog-enterprise/top-10-most-famous-car-brands-worldwide,
1,what are the top car brands in the world,https://companiesmarketcap.com/automakers/largest-automakers-by-market-cap/,
1,what are the top car brands in the world,https://www.focus2move.com/world-cars-brand-ranking/,
1,what are the top car brands in the world,https://brandirectory.com/reports/automotive-industry,
1,what are the top car brands in the world,https://roadgenius.com/cars/statistics/sales-by-manufacturer/,
1,what are the top car brands in the world,,n.a
1,what are the top car brands in the world,,n.a
1,what are the top car brands in the world,,n.a
2,which car brands are the most reliable,https://www.consumerreports.org/cars/car-reliability-owner-satisfaction/who-makes-the-most-reliable-cars-a7824554938/,
2,which car brands are the most reliable,https://www.visualcapitalist.com/ranked-the-most-reliable-car-brands-in-2025/,
2,which car brands are the most reliable,https://www.jdpower.com/business/press-releases/2024-us-vehicle-dependability-study-vds,
2,which car brands are the most reliable,https://www.whatcar.com/news/reliability-survey-most-reliable-cars-brands/n26159,
2,which car brands are the most reliable,https://www.kbb.com/car-news/consumer-reports-subaru-lexus-make-the-most-reliable-cars/,
2,which car brands are the most reliable,,n.a
2,which car brands are the most reliable,,n.a
2,which car brands are the most reliable,,n.a
2,which car brands are the most reliable,,n.a
3,what are the best luxury car brands,https://www.caranddriver.com/rankings/best-sedans/luxury/full-size,
3,what are the best luxury car brands,https://www.edmunds.com/car-buying/luxury-car-brands.html,
3,what are the best luxury car brands,https://www.consumerreports.org/cars/luxury-cars/,
3,what are the best luxury car brands,https://clementpreowned.com/blog/best-luxury-car-brands,
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
3,what are the best luxury car brands,,n.a
4,which car brands are known for safety,https://www.consumerreports.org/cars/car-safety/safest-new-cars-of-2024-according-to-iihs-a6646928467/,
4,which car brands are known for safety,https://www.iihs.org/ratings/top-safety-picks,
4,which car brands are known for safety,https://glassdoctor.com/blog/safest-car-brands-state,
4,which car brands are known for safety,https://www.kbb.com/best-cars/safest-new-vehicles/,
4,which car brands are known for safety,https://nexusautotransport.com/what-car-has-the-highest-safety-rating-in-the-us/,
4,which car brands are known for safety,,n.a
4,which car brands are known for safety,,n.a
4,which car brands are known for safety,,n.a
4,which car brands are known for safety,,n.a
4,which car brands are known for safety,,n.a
5,what are the most affordable car brands,https://www.kbb.com/best-cars/cheapest-new-cars/,
5,what are the most affordable car brands,https://www.cars.com/articles/here-are-the-10-cheapest-new-cars-you-can-buy-right-now-421309/,
5,what are the most affordable car brands,https://www.caranddriver.com/rankings/best-sedans/cheapest,
5,what are the most affordable car brands,https://www.visualcapitalist.com/ranked-the-cheapest-car-brands-to-own-and-maintain-in-the-u-s/,
5,what are the most affordable car brands,https://carbuzz.com/features/cheap-reliable-cars/,
5,what are the most affordable car brands,,n.a
5,what are the most affordable car brands,,n.a
5,what are the most affordable car brands,,n.a
5,what are the most affordable car brands,,n.a
5,what are the most affordable car brands,,n.a
6,which car brands have the best resale value,https://www.kbb.com/awards/best-resale-value-cars-trucks-suvs/,
6,which car brands have the best resale value,https://caredge.com/ranks/depreciation,
6,which car brands have the best resale value,https://carconfections.com/resale/,
6,which car brands have the best resale value,https://www.youtube.com/watch?v=2853qWh7mFU,
6,which car brands have the best resale value,https://www.autonationusa.com/research/top-10-used-luxury-cars-with-best-resale-value.htm,
6,which car brands have the best resale value,,n.a
6,which car brands have the best resale value,,n.a
6,which car brands have the best resale value,,n.a
6,which car brands have the best resale value,,n.a
